Constituency,Constituency No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status,Lead_Party_Name,Trail_Party_Name,District
Neyveli,153,RAJENDRAN.R,All India Anna Dravida Munnetra Kazhagam,SABA.RAJENDRAN,Dravida Munnetra Kazhagam,10962,20/20,Result Declared,AIADMK,DMK,Cuddalore
Nilakkottai,130,AYYANAR.R,Tamilaga Vettri Kazhagam,NAGAJOTHI.S,Dravida Munnetra Kazhagam,2925,25/25,Result Declared,TVK,DMK,Dindigul
Oddanchatram,128,SAKKARAPANI. R,Dravida Munnetra Kazhagam,VIDIYAL S. SEKAR,Bharatiya Janata Party,43249,26/26,Result Declared,DMK,BJP,Dindigul
Omalur,84,MANI. R,All India Anna Dravida Munnetra Kazhagam,ADHIYAMAAN. R.V,Tamilaga Vettri Kazhagam,14539,26/26,Result Declared,AIADMK,TVK,Salem
Orathanadu,175,R. VAITHILINGAM,Dravida Munnetra Kazhagam,DR. K. ARVIND,Tamilaga Vettri Kazhagam,35028,24/24,Result Declared,DMK,TVK,Thanjavur
Ottapidaram,217,P .MATHANRAJA,Tamilaga Vettri Kazhagam,P.M.RAMAJEYAM,Dravida Munnetra Kazhagam,29083,24/24,Result Declared,TVK,DMK,Thoothukudi
Padmanabhapuram,232,CHELLASWAMY. R,Communist Party of India (Marxist),KRISHNA KUMAR. S,Tamilaga Vettri Kazhagam,15569,24/24,Result Declared,CPI(M),TVK,Kanniyakumari
Palacodu,57,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,GOPI. R.,Tamilaga Vettri Kazhagam,39042,23/23,Result Declared,AIADMK,TVK,Dharmapuri
Palani,127,RAVIMANOHARAN. K,All India Anna Dravida Munnetra Kazhagam,DR. PRAVEEN KUMAR. M,Tamilaga Vettri Kazhagam,693,27/27,Result Declared,AIADMK,TVK,Dindigul
Palayamkottai,226,M.ABDUL WAHAB,Dravida Munnetra Kazhagam,MARIA JOHN,Tamilaga Vettri Kazhagam,13805,22/22,Result Declared,DMK,TVK,Tirunelveli
Palladam,115,K.RAMKUMAR,Tamilaga Vettri Kazhagam,K.P.PARAMASIVAM,All India Anna Dravida Munnetra Kazhagam,37897,35/35,Result Declared,TVK,AIADMK,Tiruppur
Pallavaram,30,J.KAMATCHI,Tamilaga Vettri Kazhagam,D.MURUGESAN,Desiya Murpokku Dravida Kazhagam,54693,35/35,Result Declared,TVK,DMDK,Chengalpattu
Panruti,154,MOHAN. K,All India Anna Dravida Munnetra Kazhagam,ABDUR RAHMAN. A.R,Viduthalai Chiruthaigal Katchi,10663,23/23,Result Declared,AIADMK,VCK,Cuddalore
Papanasam,172,A.M. SHAHJAHAN,Indian Union Muslim League,AZARUDEEN UDUMAN ALI,Tamilaga Vettri Kazhagam,1065,23/23,Result Declared,IUML,TVK,Thanjavur
Pappireddipatti,60,MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,PALANIAPPAN. P,Dravida Munnetra Kazhagam,33114,25/25,Result Declared,AIADMK,DMK,Dharmapuri
Paramakudi,209,ADVOCATE. KATHIRAVAN. K.K,Dravida Munnetra Kazhagam,GOPIRAJAN. G,Tamilaga Vettri Kazhagam,3548,25/25,Result Declared,DMK,TVK,Ramanathapuram
Paramathi-velur,95,SEKAR S,All India Anna Dravida Munnetra Kazhagam,MOORTHIY K S,Dravida Munnetra Kazhagam,308,20/20,Result Declared,AIADMK,DMK,Namakkal
Pattukkottai,176,ANNADURAI K,Dravida Munnetra Kazhagam,MATHAN C,Tamilaga Vettri Kazhagam,13754,24/24,Result Declared,DMK,TVK,Thanjavur
Pennagaram,58,GAJENDRAN. S.,Tamilaga Vettri Kazhagam,SELVAM. V.,Pattali Makkal Katchi,3165,23/23,Result Declared,TVK,PMK,Dharmapuri
Perambalur,147,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,DR. JAYALAKSHMI. S.T,Dravida Munnetra Kazhagam,14393,28/28,Result Declared,TVK,DMK,Perambalur
Perambur,12,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,R.D. SHEKAR,Dravida Munnetra Kazhagam,53715,23/23,Result Declared,TVK,DMK,Chennai
Peravurani,177,ASHOKKUMAR. N,Dravida Munnetra Kazhagam,GOVI.ELANGO,All India Anna Dravida Munnetra Kazhagam,3162,21/21,Result Declared,DMK,AIADMK,Thanjavur
Periyakulam,199,SABARI IYNGARAN G.,Tamilaga Vettri Kazhagam,SAKTHIVEL P.,Viduthalai Chiruthaigal Katchi,19321,26/26,Result Declared,TVK,VCK,Theni
Perundurai,103,JAYAKUMAR. S,All India Anna Dravida Munnetra Kazhagam,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,Dravida Munnetra Kazhagam,9693,22/22,Result Declared,AIADMK,DMK,Erode
Pollachi,123,K. NITHYANANDHAN,Dravida Munnetra Kazhagam,POLLACHI V. JAYARAMAN,All India Anna Dravida Munnetra Kazhagam,4627,22/22,Result Declared,DMK,AIADMK,Coimbatore
Polur,66,ABISHEK. R,Tamilaga Vettri Kazhagam,SARAVANAN. P,Desiya Murpokku Dravida Kazhagam,227,22/22,Result Declared,TVK,DMDK,Tiruvannamalai
Ponneri,2,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,DURAI CHANDRASEKAR,Indian National Congress,55768,26/26,Result Declared,TVK,INC,Thiruvallur
Poompuhar,162,NIVEDHA M MURUGAN,Dravida Munnetra Kazhagam,PAVUNRAJ. S,All India Anna Dravida Munnetra Kazhagam,8260,25/25,Result Declared,DMK,AIADMK,Mayiladuthurai
Poonamallee,5,PRAKASAM.R,Tamilaga Vettri Kazhagam,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,72740,25/25,Result Declared,TVK,DMK,Thiruvallur
Pudukkottai,180,V. MUTHURAJA,Dravida Munnetra Kazhagam,K.M. SHARIFF,Tamilaga Vettri Kazhagam,1867,22/22,Result Declared,DMK,TVK,Pudukkottai
Radhapuram,228,DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,APPAVU.M,Dravida Munnetra Kazhagam,12313,26/26,Result Declared,TVK,DMK,Tirunelveli
Rajapalayam,202,JEGADESHWARI. K,Tamilaga Vettri Kazhagam,THANGAPANDIAN. S,Dravida Munnetra Kazhagam,10605,21/21,Result Declared,TVK,DMK,Virudhunagar
Ramanathapuram,211,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,SHAHUL HAMEED,Tamilaga Vettri Kazhagam,12459,31/31,Result Declared,DMK,TVK,Ramanathapuram
Ranipet,41,THAHIRA,Tamilaga Vettri Kazhagam,R. GANDHI,Dravida Munnetra Kazhagam,5787,22/22,Result Declared,TVK,DMK,Ranipet
Rasipuram,92,LOGESH TAMILSELVAN D,Tamilaga Vettri Kazhagam,PREMKUMAR S D,Bharatiya Janata Party,14511,21/21,Result Declared,TVK,BJP,Namakkal
Rishivandiyam,78,KARTHIKEYAN K,Dravida Munnetra Kazhagam,ASHOK KUMAR G,Tamilaga Vettri Kazhagam,4862,25/25,Result Declared,DMK,TVK,Kallakurichi
Royapuram,17,K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,DR. A. SUBAIR KHAN,Dravida Munnetra Kazhagam,14249,15/15,Result Declared,TVK,DMK,Chennai
Saidapet,23,ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,SUBRAMANIAN. MA,Dravida Munnetra Kazhagam,28514,21/21,Result Declared,TVK,DMK,Chennai
Salem (north),89,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,RAJENDRAN. R,Dravida Munnetra Kazhagam,14034,23/23,Result Declared,TVK,DMK,Salem
Salem (south),90,VIJAY TAMILAN PARTHIBAN. A,Tamilaga Vettri Kazhagam,LOGANATHAN. M,Dravida Munnetra Kazhagam,33369,20/20,Result Declared,TVK,DMK,Salem
Salem (west),88,LAKSHMANAN.S,Tamilaga Vettri Kazhagam,KARTHE.M,Pattali Makkal Katchi,74867,24/24,Result Declared,TVK,PMK,Salem
Sankarankovil,219,DR. DHILIPAN JAISHANKAR,All India Anna Dravida Munnetra Kazhagam,C. RAMARAJAN,Tamilaga Vettri Kazhagam,6489,24/24,Result Declared,AIADMK,TVK,Tenkasi
Sankarapuram,79,RAKESH R,All India Anna Dravida Munnetra Kazhagam,UDHAYASURIYAN T,Dravida Munnetra Kazhagam,3440,25/25,Result Declared,AIADMK,DMK,Kallakurichi
Sankari,87,VETRIVEL. S,All India Anna Dravida Munnetra Kazhagam,SENTHILKUMAR. K,Tamilaga Vettri Kazhagam,9517,25/25,Result Declared,AIADMK,TVK,Namakkal
Sattur,204,KADARKARAIRAJ. A,Dravida Munnetra Kazhagam,NAINAR NAGENTHRAN,Bharatiya Janata Party,5989,21/21,Result Declared,DMK,BJP,Virudhunagar
Senthamangalam,93,P CHANDRASEKAR,Tamilaga Vettri Kazhagam,C CHANDRASEKARAN,All India Anna Dravida Munnetra Kazhagam,2655,23/23,Result Declared,TVK,AIADMK,Namakkal
Sholavandan,190,KARUPPAIAH.M.V,Tamilaga Vettri Kazhagam,VENKATESAN.A,Dravida Munnetra Kazhagam,2678,19/19,Result Declared,TVK,DMK,Theni
Sholingur,39,G.KAPIL,Tamilaga Vettri Kazhagam,K.SARAVANAN,Pattali Makkal Katchi,5686,26/26,Result Declared,TVK,PMK,Ranipet
Shozhinganallur,27,ECR P SARAVANAN,Tamilaga Vettri Kazhagam,S. ARAVIND RAMESH,Dravida Munnetra Kazhagam,96780,33/33,Result Declared,TVK,DMK,Chennai
Singanallur,121,K.S.SRI GIRI PRASATH,Tamilaga Vettri Kazhagam,V.SRINIDHI,Indian National Congress,19139,27/27,Result Declared,TVK,INC,Coimbatore
Sirkazhi,160,SENTHILSELVAN.R,Dravida Munnetra Kazhagam,SAKTHI.M,All India Anna Dravida Munnetra Kazhagam,11417,23/23,Result Declared,DMK,AIADMK,Mayiladuthurai
Sivaganga,186,KULANTHAI RANI A,Tamilaga Vettri Kazhagam,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,15081,31/31,Result Declared,TVK,AIADMK,Sivaganga
Sivakasi,205,KEERTHANA S,Tamilaga Vettri Kazhagam,ASHOKAN G,Indian National Congress,11670,22/22,Result Declared,TVK,INC,Virudhunagar
Sriperumbudur,29,THENNARASU.K,Tamilaga Vettri Kazhagam,K. SELVAPERUNTHAGAI,Indian National Congress,54246,33/33,Result Declared,TVK,INC,Kancheepuram
Srirangam,139,RAMESH,Tamilaga Vettri Kazhagam,S. DURAIRAJ,Dravida Munnetra Kazhagam,33590,28/28,Result Declared,TVK,DMK,Tiruchirappalli
Srivaikuntam,216,SARAVANAN. G,Tamilaga Vettri Kazhagam,SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra Kazhagam,1186,21/21,Result Declared,TVK,AIADMK,Thoothukudi
Srivilliputhur,203,KARTHIK.A,Tamilaga Vettri Kazhagam,MAHALINGAM.P,Communist Party of India,8581,24/24,Result Declared,TVK,CPI,Virudhunagar
Sulur,116,NM.SUKUMAR,Tamilaga Vettri Kazhagam,V.P.KANDASAMY,All India Anna Dravida Munnetra Kazhagam,4790,30/30,Result Declared,TVK,AIADMK,Coimbatore
Tambaram,31,D.SARATHKUMAR,Tamilaga Vettri Kazhagam,R.S.KIRUTHIKA DEVI,Dravida Munnetra Kazhagam,35621,39/39,Result Declared,TVK,DMK,Chengalpattu
Tenkasi,222,DR.KALAI KATHIRAVAN,Dravida Munnetra Kazhagam,S.SELVA MOHANDAS PANDIAN,All India Anna Dravida Munnetra Kazhagam,10299,26/26,Result Declared,DMK,AIADMK,Tenkasi
Thalli,56,RAMACHANDRAN. T,Communist Party of India,DR.NAGESH KUMAR. C,Bharatiya Janata Party,5240,24/24,Result Declared,CPI,BJP,Krishnagiri
Thanjavur,174,R. VIJAYSARAVANAN,Tamilaga Vettri Kazhagam,SHAN. RAMANATHAN,Dravida Munnetra Kazhagam,16955,24/24,Result Declared,TVK,DMK,Thanjavur
